"date","fremont_bridge_nb","fremont_bridge_sb"
"2017-01-11T19:00:00.000","29","65"
"2017-01-01T20:00:00.000","1","2"
"2017-01-10T08:00:00.000","158","112"
"2017-01-09T17:00:00.000","91","283"
"2017-01-22T13:00:00.000","16","18"
"2017-01-15T19:00:00.000","13","16"
"2017-01-21T04:00:00.000","1","1"
"2017-01-15T02:00:00.000","1","1"
"2017-01-30T16:00:00.000","64","136"
"2017-01-14T07:00:00.000","7","6"
"2017-01-08T11:00:00.000","17","8"
"2017-01-31T17:00:00.000","93","341"
"2017-01-20T13:00:00.000","43","34"
"2017-01-20T16:00:00.000","57","160"
"2017-01-31T02:00:00.000","0","0"
"2017-01-11T20:00:00.000","14","22"
"2017-01-19T01:00:00.000","1","1"
"2017-01-11T14:00:00.000","15","22"
"2017-01-25T13:00:00.000","17","27"
"2017-01-29T23:00:00.000","1","7"
"2012-10-18T23:00:00.000","7","7"
"2017-01-20T10:00:00.000","30","26"
"2017-01-07T08:00:00.000","17","12"
"2017-01-31T00:00:00.000","1","2"
"2017-01-11T11:00:00.000","25","13"
"2017-01-21T17:00:00.000","24","28"
"2017-01-29T08:00:00.000","19","22"
"2017-01-01T18:00:00.000","7","9"
"2017-01-18T21:00:00.000","6","15"
"2017-01-02T18:00:00.000","16","15"
"2017-01-20T09:00:00.000","101","82"
"2017-01-28T23:00:00.000","3","10"
"2012-10-19T11:00:00.000","26","26"
"2017-01-15T06:00:00.000","2","5"
"2017-01-21T07:00:00.000","12","9"
"2017-01-12T02:00:00.000","1","1"
"2017-01-31T13:00:00.000","24","27"
"2017-01-14T01:00:00.000","1","6"
"2017-01-08T06:00:00.000","1","5"
"2017-01-07T18:00:00.000","14","15"
"2017-01-19T03:00:00.000","0","0"
"2017-01-16T22:00:00.000","6","3"
"2017-01-27T05:00:00.000","13","12"
"2017-01-02T13:00:00.000","27","31"
"2017-01-09T00:00:00.000","2","1"
"2017-01-21T12:00:00.000","75","54"
"2017-01-20T05:00:00.000","13","6"
"2017-01-04T12:00:00.000","14","21"
"2017-01-02T04:00:00.000","0","1"
"2017-01-04T05:00:00.000","19","7"
"2017-01-03T09:00:00.000","70","60"
"2017-01-13T09:00:00.000","69","70"
"2017-01-04T21:00:00.000","9","15"
"2017-01-30T05:00:00.000","19","13"
"2017-01-25T04:00:00.000","7","0"
"2017-01-05T15:00:00.000","33","47"
"2017-01-21T21:00:00.000","13","11"
"2017-01-27T16:00:00.000","81","179"
"2017-01-08T18:00:00.000","4","4"
"2017-01-09T18:00:00.000","48","188"
"2017-01-06T01:00:00.000","0","1"
"2017-01-30T06:00:00.000","62","41"
"2017-01-24T08:00:00.000","232","139"
"2017-01-03T05:00:00.000","11","11"
"2012-10-20T19:00:00.000","18","18"
"2017-01-18T06:00:00.000","47","23"
"2017-01-07T10:00:00.000","18","12"
"2012-10-20T22:00:00.000","6","6"
"2017-01-05T23:00:00.000","3","5"
"2017-01-29T13:00:00.000","28","35"
"2017-01-03T14:00:00.000","13","18"
"2017-01-26T16:00:00.000","72","138"
"2017-01-23T23:00:00.000","3","8"
"2017-01-16T11:00:00.000","31","27"
"2012-10-21T05:00:00.000","4","4"
"2017-01-06T05:00:00.000","11","13"
"2017-01-21T06:00:00.000","7","3"
"2017-01-21T09:00:00.000","49","33"
"2017-01-25T17:00:00.000","87","297"
"2017-01-19T05:00:00.000","12","9"
"2017-01-13T23:00:00.000","3","6"
"2017-01-06T19:00:00.000","15","49"
"2017-01-05T22:00:00.000","5","6"
"2017-01-19T12:00:00.000","30","16"
"2017-01-15T20:00:00.000","6","7"
"2017-01-22T15:00:00.000","20","26"
"2017-01-13T20:00:00.000","8","21"
"2017-01-13T08:00:00.000","139","97"
"2017-01-27T03:00:00.000","1","0"
"2017-01-05T06:00:00.000","36","25"
"2017-01-30T08:00:00.000","256","154"
"2017-01-18T18:00:00.000","49","115"
"2017-01-30T03:00:00.000","1","1"
"2017-01-09T15:00:00.000","27","31"
"2017-01-23T00:00:00.000","0","1"
"2017-01-16T05:00:00.000","8","2"
"2017-01-17T23:00:00.000","1","2"
"2012-10-22T04:00:00.000","5","5"
"2017-01-27T08:00:00.000","194","148"
"2017-01-25T08:00:00.000","233","152"
"2017-01-14T05:00:00.000","3","1"
"2017-01-10T02:00:00.000","1","0"
"2017-01-18T12:00:00.000","17","14"
"2017-01-10T23:00:00.000","3","2"
"2017-01-28T02:00:00.000","1","2"
"2017-01-28T06:00:00.000","2","4"
"2012-10-22T13:00:00.000","20","20"
"2017-01-07T00:00:00.000","5","6"
"2017-01-11T23:00:00.000","2","3"
"2017-01-25T23:00:00.000","5","3"
"2017-01-08T04:00:00.000","0","0"
"2017-01-30T02:00:00.000","1","1"
"2017-01-28T07:00:00.000","9","14"
"2017-01-17T01:00:00.000","1","3"
"2017-01-18T17:00:00.000","47","175"
"2017-01-23T19:00:00.000","37","81"
"2017-01-30T12:00:00.000","12","34"
"2012-10-23T00:00:00.000","3","3"
"2012-10-23T01:00:00.000","1","1"
"2017-01-24T11:00:00.000","31","33"
"2017-01-06T08:00:00.000","161","93"
"2017-01-01T13:00:00.000","19","16"
"2017-01-02T09:00:00.000","21","11"
"2017-01-03T07:00:00.000","120","64"
"2017-01-04T06:00:00.000","36","32"
"2017-01-31T04:00:00.000","3","3"
"2017-01-28T11:00:00.000","60","47"
"2017-01-29T05:00:00.000","4","3"
"2017-01-27T07:00:00.000","155","76"
"2017-01-02T21:00:00.000","8","7"
"2017-01-01T00:00:00.000","0","5"
"2012-10-23T14:00:00.000","38","38"
"2017-01-27T12:00:00.000","29","28"
"2017-01-19T04:00:00.000","3","1"
